cycle,T2,T24,T30,T50,P2,P30,Nf,Nc,scenario,scenario_name
43,545.93,673.54,1653.7,1452.44,14.26,43.8,2363.89,8850.12,gradual_degradation,Gradual Degradation
44,539.97,677.17,1646.72,1471.6,13.99,43.86,2362.36,8943.96,gradual_degradation,Gradual Degradation
45,546.76,675.04,1661.89,1456.1,14.17,43.09,2320.06,8790.76,gradual_degradation,Gradual Degradation
46,539.74,671.95,1659.16,1469.29,14.23,43.67,2361.85,8824.31,gradual_degradation,Gradual Degradation
47,542.19,675.9,1650.43,1485.82,14.16,43.7,2344.56,8821.7,gradual_degradation,Gradual Degradation
48,542.89,672.7,1675.6,1463.43,14.1,43.6,2341.76,8909.38,gradual_degradation,Gradual Degradation
49,549.59,678.25,1651.21,1485.46,14.08,43.47,2353.88,8780.29,gradual_degradation,Gradual Degradation
50,545.13,672.65,1649.48,1485.29,13.99,43.23,2349.26,8880.6,gradual_degradation,Gradual Degradation
51,547.87,681.14,1661.08,1480.15,13.99,43.65,2349.78,8796.42,gradual_degradation,Gradual Degradation
52,547.43,676.78,1680.36,1479.96,14.11,43.41,2346.11,8777.25,gradual_degradation,Gradual Degradation
53,542.81,681.3,1666.95,1470.1,14.04,43.58,2343.17,8853.24,gradual_degradation,Gradual Degradation
54,550.44,684.63,1670.39,1489.7,14.12,43.08,2324.91,8773.62,gradual_degradation,Gradual Degradation
55,550.56,683.97,1670.29,1468.14,14.11,43.11,2352.25,8877.38,gradual_degradation,Gradual Degradation
56,553.41,678.41,1668.06,1490.14,14.1,42.84,2309.58,8852.22,gradual_degradation,Gradual Degradation
57,547.66,689.22,1670.07,1498.01,13.97,42.99,2309.03,8820.44,gradual_degradation,Gradual Degradation
58,545.83,682.77,1673.92,1496.39,14.1,43.4,2327.99,8814.05,gradual_degradation,Gradual Degradation
59,553.65,678.7,1673.66,1490.25,14.1,43.14,2328.37,8721.95,gradual_degradation,Gradual Degradation
60,550.11,688.01,1682.01,1501.07,14.12,43.26,2332.87,8733.46,gradual_degradation,Gradual Degradation
61,548.43,678.97,1683.84,1499.32,14.11,43.09,2315.52,8789.29,gradual_degradation,Gradual Degradation
62,555.07,679.57,1692.25,1487.0,14.14,43.43,2311.44,8771.08,gradual_degradation,Gradual Degradation
63,555.71,684.72,1670.89,1485.81,13.89,42.78,2334.63,8814.39,gradual_degradation,Gradual Degradation
64,553.51,681.98,1695.3,1483.28,13.95,43.39,2324.25,8718.62,gradual_degradation,Gradual Degradation
65,555.08,690.01,1690.41,1511.38,14.04,42.85,2336.27,8799.7,gradual_degradation,Gradual Degradation
66,555.79,683.6,1684.67,1500.69,13.85,43.11,2308.01,8732.6,gradual_degradation,Gradual Degradation
67,552.18,695.9,1685.32,1510.21,14.04,43.25,2296.97,8713.76,gradual_degradation,Gradual Degradation
68,557.65,683.5,1703.37,1493.26,13.83,42.88,2309.68,8694.9,gradual_degradation,Gradual Degradation
69,559.62,694.07,1694.27,1516.01,13.86,43.3,2333.95,8690.51,gradual_degradation,Gradual Degradation
70,558.99,685.18,1695.69,1496.27,13.94,42.71,2325.06,8670.74,gradual_degradation,Gradual Degradation
71,559.17,693.8,1687.15,1515.98,14.05,43.32,2294.18,8796.49,gradual_degradation,Gradual Degradation
72,554.41,694.82,1706.53,1498.88,13.83,43.13,2298.7,8797.4,gradual_degradation,Gradual Degradation
73,561.06,691.52,1685.62,1510.39,13.9,42.48,2291.87,8726.83,gradual_degradation,Gradual Degradation
74,563.88,693.65,1686.73,1503.39,13.89,42.69,2327.44,8713.8,gradual_degradation,Gradual Degradation
75,559.07,698.71,1694.0,1501.21,13.9,43.08,2309.78,8681.54,gradual_degradation,Gradual Degradation
76,558.51,697.26,1712.91,1505.29,13.83,42.86,2298.29,8723.13,gradual_degradation,Gradual Degradation
77,556.37,700.08,1705.15,1527.75,13.77,43.11,2317.0,8689.37,gradual_degradation,Gradual Degradation
78,562.98,698.01,1724.69,1517.8,13.85,43.06,2290.3,8742.56,gradual_degradation,Gradual Degradation
79,566.59,696.04,1707.15,1512.78,14.0,42.59,2287.67,8728.36,gradual_degradation,Gradual Degradation
80,557.8,695.88,1726.92,1517.66,13.78,42.67,2311.58,8779.44,gradual_degradation,Gradual Degradation
81,558.39,702.31,1703.31,1508.99,13.96,42.74,2298.8,8745.95,gradual_degradation,Gradual Degradation
82,558.61,694.86,1702.49,1517.21,13.89,42.51,2305.71,8656.96,gradual_degradation,Gradual Degradation
83,563.14,698.11,1723.48,1512.15,13.86,42.88,2284.03,8649.82,gradual_degradation,Gradual Degradation
84,564.43,696.38,1706.86,1518.92,13.91,42.56,2283.99,8755.39,gradual_degradation,Gradual Degradation
85,566.2,704.99,1731.85,1527.68,13.81,42.3,2281.09,8695.95,gradual_degradation,Gradual Degradation
86,563.92,699.05,1714.57,1529.21,13.92,42.79,2288.97,8710.01,gradual_degradation,Gradual Degradation
87,568.77,707.03,1720.59,1532.98,13.91,42.83,2278.2,8648.82,gradual_degradation,Gradual Degradation
88,562.86,704.89,1719.28,1528.95,13.72,42.14,2305.74,8612.42,gradual_degradation,Gradual Degradation
89,566.09,698.4,1722.11,1523.84,13.67,42.2,2289.58,8684.68,gradual_degradation,Gradual Degradation
90,563.67,700.62,1723.56,1535.99,13.68,42.76,2302.56,8593.66,gradual_degradation,Gradual Degradation
91,572.86,701.8,1724.54,1528.71,13.81,42.49,2274.56,8709.92,gradual_degradation,Gradual Degradation
92,573.71,710.4,1736.1,1532.31,13.69,42.21,2297.66,8692.53,gradual_degradation,Gradual Degradation
93,563.03,706.82,1741.02,1530.49,13.84,42.7,2276.19,8593.74,gradual_degradation,Gradual Degradation
94,564.11,709.21,1732.38,1540.62,13.76,42.12,2280.75,8717.55,gradual_degradation,Gradual Degradation
95,569.73,708.71,1727.15,1532.57,13.77,42.41,2259.46,8660.99,gradual_degradation,Gradual Degradation
96,574.1,709.28,1733.18,1554.45,13.71,42.08,2275.04,8613.99,gradual_degradation,Gradual Degradation
97,573.5,714.38,1747.53,1553.42,13.75,42.76,2282.87,8707.04,gradual_degradation,Gradual Degradation
98,572.55,705.88,1731.33,1557.15,13.81,42.07,2298.68,8602.08,gradual_degradation,Gradual Degradation
99,575.38,716.3,1745.7,1546.68,13.62,41.94,2259.74,8679.05,gradual_degradation,Gradual Degradation
100,570.81,706.38,1738.66,1545.89,13.79,42.68,2289.32,8566.63,gradual_degradation,Gradual Degradation
